,d1,d2,simScore
0,DCC1838,DCC1846,0.943661972
1,DCC1838,DCC1850,0.821917808
2,DCC1838,DCC1856,0.84057971
3,DCC1838,DCC0090,0.830985915
4,DCC1838,DCC1814,0.826086957
5,DCC1838,DCC0260,0.805555556
6,DCC0029,DCC1191,0.866666667
7,DCC0029,DCC0157,0.933333333
8,DCC0035,DCC0266,0.803278689
9,DCC0036,DCC1811,0.863636364
10,DCC0036,DCC0145,0.886363636
11,DCC0038,DCC0014,0.823529412
12,DCC0039,DCC0021,0.957446809
13,DCC0039,DCC0215,0.846153846
14,DCC0042,DCC0070,0.972222222
15,DCC0042,DCC1241,0.944444444
16,DCC0042,DCC1335,0.820512821
17,DCC0042,DCC0180,0.891891892
18,DCC0058,DCC0135,0.882352941
19,DCC0058,DCC0182,0.803571429
20,DCC0061,DCC0026,0.873015873
21,DCC0061,DCC0097,0.828125
22,DCC0061,DCC1377,1.0
23,DCC0061,DCC0301,0.861538462
24,DCC0062,DCC1615,0.869565217
25,DCC0043,DCC0051,0.94
26,DCC0043,DCC1530,0.839285714
27,DCC0043,DCC1590,0.818181818
28,DCC0043,DCC1247,0.882352941
29,DCC0043,DCC0243,0.830188679
30,DCC0043,DCC0346,0.851851852
31,DCC0044,DCC1238,0.956521739
32,DCC0044,DCC0246,0.893617021
33,DCC0045,DCC1368,0.85915493
34,DCC0050,DCC1687,0.833333333
35,DCC0050,DCC1657,0.859375
36,DCC0051,DCC0112,0.842105263
37,DCC0051,DCC1590,0.87037037
38,DCC0051,DCC1247,0.865384615
39,DCC0051,DCC0243,0.884615385
40,DCC0051,DCC0346,0.905660377
41,DCC0010,DCC0193,0.814285714
42,DCC0015,DCC0119,0.980392157
43,DCC0015,DCC0197,0.942307692
44,DCC0015,DCC0226,0.857142857
45,DCC0015,DCC0137,0.923076923
46,DCC0017,DCC0249,0.813953488
47,DCC0018,DCC1231,0.928571429
48,DCC0020,DCC0024,0.879310345
49,DCC0020,DCC0318,0.981132075
50,DCC0021,DCC0215,0.811320755
51,DCC0024,DCC0318,0.862068966
52,DCC0026,DCC0097,0.861538462
53,DCC0026,DCC1377,0.873015873
54,DCC0026,DCC0301,0.811594203
55,DCC0028,DCC1209,0.857142857
56,DCC0028,DCC0324,0.895522388
57,DCC1097,DCC0426,0.864864865
58,DCC1097,DCC0252,0.96969697
59,DCC1097,DCC0340,0.861111111
60,DCC1112,DCC1116,0.869047619
61,DCC1112,DCC1135,0.87654321
62,DCC1116,DCC1135,0.808988764
63,DCC0794,DCC1381,1.0
64,DCC0836,DCC0085,0.804878049
65,DCC0836,DCC0343,0.868421053
66,DCC0885,DCC0371,0.842857143
67,DCC0887,DCC1589,0.846153846
68,DCC0887,DCC1335,0.815789474
69,DCC0887,DCC1182,0.970588235
70,DCC0908,DCC1267,0.837837838
71,DCC0908,DCC0207,0.947368421
72,DCC0426,DCC0252,0.842105263
73,DCC0426,DCC0340,0.894736842
74,DCC1845,DCC0214,0.833333333
75,DCC1846,DCC0090,0.810810811
76,DCC1850,DCC1856,0.852941176
77,DCC1850,DCC0090,0.842857143
78,DCC1852,DCC1816,0.982758621
79,DCC1854,DCC1855,0.98
80,DCC1854,DCC1861,0.830188679
81,DCC1854,DCC1256,0.979591837
82,DCC1855,DCC1861,0.814814815
83,DCC1855,DCC1256,0.96
84,DCC1856,DCC0090,0.892307692
85,DCC1856,DCC1830,0.876923077
86,DCC1856,DCC1814,0.919354839
87,DCC1856,DCC0260,0.921875
88,DCC1856,DCC0300,0.80952381
89,DCC1857,DCC0124,0.818181818
90,DCC1857,DCC1208,0.802816901
91,DCC1858,DCC0326,0.838709677
92,DCC1861,DCC1256,0.846153846
93,DCC1861,DCC0266,0.836363636
94,DCC0094,DCC0088,0.850746269
95,DCC0094,DCC1443,0.846153846
96,DCC0094,DCC1245,0.850746269
97,DCC0094,DCC0153,0.833333333
98,DCC0094,DCC0256,0.875
99,DCC0094,DCC0288,0.823529412
100,DCC0094,DCC0334,0.820895522
101,DCC0094,DCC0225,0.811594203
102,DCC0095,DCC0077,0.833333333
103,DCC0095,DCC1474,0.814814815
104,DCC0095,DCC1454,0.92
105,DCC0095,DCC1828,0.857142857
106,DCC0095,DCC1393,0.882352941
107,DCC0095,DCC1246,0.88
108,DCC0095,DCC1354,0.98
109,DCC0095,DCC0184,0.9
110,DCC0095,DCC0156,0.9
111,DCC0095,DCC0216,0.9
112,DCC0095,DCC0325,1.0
113,DCC0095,DCC0140,0.821428571
114,DCC0095,DCC0149,0.960784314
115,DCC0096,DCC1357,0.862068966
116,DCC0096,DCC1525,0.859649123
117,DCC0096,DCC0259,1.0
118,DCC0097,DCC1377,0.828125
119,DCC0097,DCC0301,0.823529412
120,DCC0102,DCC1587,0.849056604
121,DCC0102,DCC0309,0.882352941
122,DCC0102,DCC0172,0.865384615
123,DCC0103,DCC1745,0.890909091
124,DCC0103,DCC0277,0.833333333
125,DCC0116,DCC0243,0.816326531
126,DCC0119,DCC0197,0.924528302
127,DCC0119,DCC0226,0.875
128,DCC0119,DCC0137,0.905660377
129,DCC0121,DCC0076,0.84057971
130,DCC0123,DCC0311,0.960784314
131,DCC0124,DCC0107,0.805970149
132,DCC0124,DCC1208,0.882352941
133,DCC0124,DCC0253,0.880597015
134,DCC0124,DCC0279,0.869565217
135,DCC0106,DCC0136,0.808510638
136,DCC0107,DCC0253,0.895522388
137,DCC0107,DCC0279,0.830985915
138,DCC0107,DCC0304,0.907692308
139,DCC0111,DCC0161,0.803030303
140,DCC0112,DCC1530,0.947368421
141,DCC0112,DCC1247,0.857142857
142,DCC0112,DCC0243,0.875
143,DCC0112,DCC0346,0.928571429
144,DCC0112,DCC0312,0.803278689
145,DCC0112,DCC0177,0.816666667
146,DCC0112,DCC0236,0.825396825
147,DCC0067,DCC1321,0.945205479
148,DCC0067,DCC0126,0.92
149,DCC0070,DCC1241,0.916666667
150,DCC0070,DCC1335,0.842105263
151,DCC0070,DCC0180,0.916666667
152,DCC0071,DCC0078,0.948717949
153,DCC0075,DCC0166,0.870967742
154,DCC0076,DCC0283,0.819672131
155,DCC0077,DCC1474,0.94
156,DCC0077,DCC1828,0.807017544
157,DCC0077,DCC1393,0.862745098
158,DCC0077,DCC1354,0.814814815
159,DCC0077,DCC0325,0.833333333
160,DCC0077,DCC0220,0.846153846
161,DCC0077,DCC0139,0.830188679
162,DCC0081,DCC0354,0.878787879
163,DCC0081,DCC0298,0.941176471
164,DCC0081,DCC0210,1.0
165,DCC0083,DCC0084,0.803278689
166,DCC0083,DCC0285,0.962264151
167,DCC0083,DCC0353,0.905660377
168,DCC0084,DCC1332,0.833333333
169,DCC0084,DCC0285,0.836065574
170,DCC0085,DCC0343,0.833333333
171,DCC0088,DCC1245,0.96875
172,DCC0088,DCC0334,0.878787879
173,DCC0089,DCC0229,0.833333333
174,DCC0090,DCC1830,0.865671642
175,DCC0090,DCC1814,0.820895522
176,DCC0090,DCC0260,0.826086957
177,DCC0091,DCC1297,0.843373494
178,DCC0091,DCC0344,0.802197802
179,DCC0091,DCC0319,0.831460674
180,DCC0093,DCC0307,0.843137255
181,DCC0125,DCC1424,0.837209302
182,DCC0125,DCC0168,0.902439024
183,DCC1191,DCC0362,0.826086957
184,DCC1191,DCC0157,0.8125
185,DCC1194,DCC1593,1.0
186,DCC1262,DCC0284,0.837209302
187,DCC1267,DCC1466,0.9375
188,DCC1267,DCC1335,0.833333333
189,DCC1267,DCC0207,0.837837838
190,DCC1355,DCC0226,0.885245902
191,DCC1357,DCC1525,0.961538462
192,DCC1357,DCC0259,0.862068966
193,DCC1422,DCC0261,0.871794872
194,DCC1453,DCC0172,0.807017544
195,DCC1453,DCC0199,0.816666667
196,DCC1455,DCC0134,0.840909091
197,DCC1461,DCC0186,1.0
198,DCC1474,DCC1393,0.88
199,DCC1474,DCC1246,0.84
200,DCC1474,DCC0325,0.814814815
201,DCC1474,DCC0220,0.826923077
202,DCC1474,DCC0139,0.882352941
203,DCC1437,DCC1589,0.923076923
204,DCC1437,DCC0358,0.875
205,DCC1443,DCC1338,0.828125
206,DCC1443,DCC0256,0.966666667
207,DCC1443,DCC0334,0.904761905
208,DCC1443,DCC0161,0.822580645
209,DCC1454,DCC1393,0.84
210,DCC1454,DCC1354,0.9
211,DCC1454,DCC0184,0.97826087
212,DCC1454,DCC0156,0.97826087
213,DCC1454,DCC0216,0.97826087
214,DCC1454,DCC0321,0.846153846
215,DCC1454,DCC0325,0.92
216,DCC1454,DCC0220,0.823529412
217,DCC1454,DCC0149,0.882352941
218,DCC1478,DCC1521,0.818181818
219,DCC1481,DCC0234,0.80952381
220,DCC1486,DCC1259,0.818181818
221,DCC1500,DCC1297,0.87012987
222,DCC1502,DCC0283,0.903846154
223,DCC1686,DCC1285,0.802816901
224,DCC1687,DCC1657,0.846153846
225,DCC1521,DCC0335,0.886075949
226,DCC1699,DCC0244,0.865384615
227,DCC1524,DCC1207,1.0
228,DCC1525,DCC0259,0.859649123
229,DCC1530,DCC1247,0.872727273
230,DCC1530,DCC0243,0.824561404
231,DCC1530,DCC0346,0.877192982
232,DCC1530,DCC0312,0.847457627
233,DCC1530,DCC0177,0.862068966
234,DCC1530,DCC0236,0.80952381
235,DCC1587,DCC0309,0.957446809
236,DCC1587,DCC0172,0.9375
237,DCC1589,DCC1182,0.820512821
238,DCC1589,DCC0358,0.853658537
239,DCC1590,DCC1247,0.818181818
240,DCC1590,DCC0243,0.87037037
241,DCC1702,DCC1351,0.865853659
242,DCC1707,DCC0323,0.931034483
243,DCC1707,DCC0329,0.98245614
244,DCC1534,DCC0280,0.961538462
245,DCC1534,DCC0147,0.802325581
246,DCC1537,DCC1224,0.893617021
247,DCC1594,DCC0362,0.857142857
248,DCC1601,DCC1333,0.833333333
249,DCC1613,DCC1395,0.911764706
250,DCC1613,DCC0293,0.810810811
251,DCC1828,DCC1354,0.839285714
252,DCC1828,DCC0321,0.890909091
253,DCC1828,DCC0325,0.857142857
254,DCC1828,DCC0140,0.962962963
255,DCC1828,DCC0149,0.824561404
256,DCC1830,DCC1814,0.833333333
257,DCC1830,DCC0260,0.953125
258,DCC1614,DCC1145,0.887323944
259,DCC1624,DCC0128,0.837837838
260,DCC1742,DCC0139,0.903846154
261,DCC1742,DCC0140,0.807017544
262,DCC1745,DCC0277,0.901960784
263,DCC1559,DCC0255,1.0
264,DCC1811,DCC0145,0.886363636
265,DCC1812,DCC0289,0.885714286
266,DCC1812,DCC0310,0.815789474
267,DCC1666,DCC1390,0.818181818
268,DCC1678,DCC1249,0.828571429
269,DCC1678,DCC0348,0.953846154
270,DCC1678,DCC0218,0.878787879
271,DCC1678,DCC0223,0.907692308
272,DCC1814,DCC0260,0.876923077
273,DCC1814,DCC0300,0.852459016
274,DCC1819,DCC0291,0.829268293
275,DCC1820,DCC0175,0.932432432
276,DCC1208,DCC0253,0.810810811
277,DCC1208,DCC0279,0.902777778
278,DCC1208,DCC0305,0.8125
279,DCC1209,DCC0324,0.814285714
280,DCC1280,DCC0360,0.828571429
281,DCC1284,DCC0291,0.833333333
282,DCC1365,DCC1239,0.925373134
283,DCC1221,DCC0187,0.928571429
284,DCC1221,DCC0268,0.928571429
285,DCC1221,DCC0143,1.0
286,DCC1297,DCC0344,0.825581395
287,DCC1297,DCC0319,0.835294118
288,DCC1377,DCC0301,0.861538462
289,DCC1238,DCC0246,0.893617021
290,DCC1321,DCC0126,0.97260274
291,DCC1329,DCC1244,0.865384615
292,DCC1330,DCC0321,0.827586207
293,DCC1240,DCC0188,0.846153846
294,DCC1241,DCC0180,0.837837838
295,DCC1335,DCC1182,0.837837838
296,DCC1335,DCC0180,0.916666667
297,DCC1393,DCC1246,0.914893617
298,DCC1393,DCC1354,0.862745098
299,DCC1393,DCC0184,0.82
300,DCC1393,DCC0156,0.82
301,DCC1393,DCC0216,0.82
302,DCC1393,DCC0325,0.882352941
303,DCC1393,DCC0220,0.86
304,DCC1393,DCC0149,0.846153846
305,DCC1395,DCC0238,0.842105263
306,DCC1246,DCC1354,0.86
307,DCC1246,DCC0325,0.88
308,DCC1246,DCC0149,0.843137255
309,DCC1247,DCC0243,0.94
310,DCC1247,DCC0346,0.886792453
311,DCC1245,DCC0334,0.878787879
312,DCC1245,DCC0225,0.814285714
313,DCC1338,DCC0153,0.84375
314,DCC1338,DCC0256,0.857142857
315,DCC1338,DCC0288,0.920634921
316,DCC1338,DCC0360,0.859375
317,DCC1338,DCC0203,0.822580645
318,DCC1183,DCC0158,0.883333333
319,DCC1183,DCC0162,0.876923077
320,DCC1249,DCC0348,0.867647059
321,DCC1249,DCC0218,0.907692308
322,DCC1249,DCC0223,0.907692308
323,DCC1252,DCC0209,0.803921569
324,DCC1259,DCC0166,0.84375
325,DCC1347,DCC0339,0.909090909
326,DCC1354,DCC0184,0.918367347
327,DCC1354,DCC0156,0.918367347
328,DCC1354,DCC0216,0.918367347
329,DCC1354,DCC0325,0.98
330,DCC1354,DCC0220,0.811320755
331,DCC1354,DCC0140,0.803571429
332,DCC1354,DCC0149,0.98
333,DCC0153,DCC0288,0.921875
334,DCC0184,DCC0156,1.0
335,DCC0184,DCC0216,1.0
336,DCC0184,DCC0321,0.826923077
337,DCC0184,DCC0325,0.9
338,DCC0184,DCC0220,0.84
339,DCC0184,DCC0149,0.9
340,DCC0362,DCC0157,0.8125
341,DCC0362,DCC0220,0.816326531
342,DCC0156,DCC0216,1.0
343,DCC0156,DCC0321,0.826923077
344,DCC0156,DCC0325,0.9
345,DCC0156,DCC0220,0.84
346,DCC0156,DCC0149,0.9
347,DCC0187,DCC0268,0.964912281
348,DCC0187,DCC0130,0.848484848
349,DCC0187,DCC0143,0.928571429
350,DCC0249,DCC0326,0.885714286
351,DCC0216,DCC0321,0.826923077
352,DCC0216,DCC0325,0.9
353,DCC0216,DCC0220,0.84
354,DCC0216,DCC0149,0.9
355,DCC0252,DCC0340,0.888888889
356,DCC0253,DCC0279,0.901408451
357,DCC0253,DCC0304,0.816901408
358,DCC0243,DCC0346,0.905660377
359,DCC0256,DCC0288,0.820895522
360,DCC0256,DCC0334,0.875
361,DCC0256,DCC0161,0.822580645
362,DCC0256,DCC0179,0.803030303
363,DCC0256,DCC0203,0.80952381
364,DCC0262,DCC0195,0.882352941
365,DCC0268,DCC0130,0.848484848
366,DCC0268,DCC0143,0.928571429
367,DCC0279,DCC0304,0.85915493
368,DCC0280,DCC0147,0.813953488
369,DCC0346,DCC0236,0.819672131
370,DCC0289,DCC0310,0.911764706
371,DCC0285,DCC0353,0.872727273
372,DCC0348,DCC0218,0.921875
373,DCC0348,DCC0223,0.952380952
374,DCC0321,DCC0140,0.854545455
375,DCC0323,DCC0329,0.947368421
376,DCC0354,DCC0298,0.878787879
377,DCC0354,DCC0210,0.878787879
378,DCC0355,DCC0365,0.8125
379,DCC0360,DCC0334,0.820895522
380,DCC0360,DCC0228,0.888888889
381,DCC0325,DCC0140,0.821428571
382,DCC0325,DCC0149,0.960784314
383,DCC0298,DCC0210,0.941176471
384,DCC0334,DCC0179,0.833333333
385,DCC0375,DCC0377,0.804878049
386,DCC0309,DCC0172,0.97826087
387,DCC0312,DCC0177,0.945454545
388,DCC0127,DCC0226,0.833333333
389,DCC0159,DCC0170,1.0
390,DCC0158,DCC0162,0.805970149
391,DCC0218,DCC0223,0.967213115
392,DCC0193,DCC0200,0.965517241
393,DCC0197,DCC0226,0.810344828
394,DCC0197,DCC0137,0.87037037
395,DCC0226,DCC0137,0.857142857
396,DCC0225,DCC0179,0.9375
397,DCC0137,DCC0181,0.830188679
398,DCC0177,DCC0236,0.806451613
